block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"26/7/2022, 14:5:3:9";"26/7/2022, 14:5:19:12";"Are you still here?";0;"";0.0024;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:7:51:557";"26/7/2022, 14:7:53:277";"Please move your mouse towards the target in a single smooth motion";0;1490.8999999985099;0;657.3999999985099;5.2846532943095355;49.399999998509884;455.7292612240829;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:7:59:894";"26/7/2022, 14:8:6:887";"Please click on the target once the grid is unlocked";0;5487.800000000745;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:8:22:661";"26/7/2022, 14:8:25:638";"Please click on the target once the grid is unlocked";0;1473.2000000029802;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:8:41:197";"26/7/2022, 14:8:44:417";"";5;1601.4000000022352;0;513.4000000022352;0.7126096406869612;0.09999999776482582;329.67221612017966;1376.1000000014901;"";35.59395171740014;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 14:8:44:790";"26/7/2022, 14:8:51:846";"Please move your mouse towards the target in a single smooth motion";0;6891.199999999255;1.5343011579999999;515.3000000007451;8.338540040078954;13.699999999254942;446.1349297275652;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:8:54:376";"26/7/2022, 14:8:57:689";"Please move your mouse towards the target in a single smooth motion";0;3066.900000002235;0.13320467000000002;609.6999999992549;0.7126096406869612;32;564.9142570509531;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:9:2:140";"26/7/2022, 14:9:8:524";"";1;4831.60000000149;0.6019413523999997;497.69999999925494;0.39528470752104744;15.899999998509884;298.6472999953355;1295.199999999255;"";31.406258046827357;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 14:9:8:880";"26/7/2022, 14:9:14:40";"Please click on the target once the grid is unlocked";0;3648.89999999851;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:9:16:601";"26/7/2022, 14:9:20:275";"";1;2257.199999999255;0;385.3999999985099;1.1473474844178637;96.10000000149012;333.41554099080537;1048.8999999985099;"";10.317599003227695;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 14:9:20:670";"26/7/2022, 14:9:21:410";"Please do not get close to the target while the grid is locked";1;"";0.0024;385.3999999985099;1.1473474844178637;96.10000000149012;333.41554099080537;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:9:33:999";"26/7/2022, 14:9:37:349";"";1;1491.3999999985099;0;305.8999999985099;1.4750529651507434;112.10000000149012;623.4320897023234;1408.300000000745;"";17.019452241424318;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 14:9:37:719";"26/7/2022, 14:9:40:811";"Please click on the target once the grid is unlocked";0;2885.099999997765;0;1298.5999999977648;0.8385254915624212;48.900000002235174;391.7877292868234;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:9:43:389";"26/7/2022, 14:9:46:515";"";1;1461.5;0;401.5;1.7376798468072305;127.89999999850988;358.29073828415807;1312.5;"";35.48174375939026;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 14:9:46:878";"26/7/2022, 14:9:48:768";"Please do not get close to the target while the grid is locked";1;"";0.4667793260000001;401.5;1.7376798468072305;127.89999999850988;358.29073828415807;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:9:52:683";"26/7/2022, 14:9:55:364";"Please click on the target once the grid is unlocked";3;1640.7999999970198;0;465.29999999701977;0.6373774391990981;16;509.9172898384056;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:10:2:753";"26/7/2022, 14:10:6:586";"Please click on the target once the grid is unlocked";0;3531;0;1200.8999999985099;0.9762812094883317;64.10000000149012;623.5529025455816;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:10:10:48";"26/7/2022, 14:10:11:622";"Please move your mouse towards the target in a single smooth motion";0;1197;0;321.5999999977648;1.602000702247037;16;577.3120188127859;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:10:13:266";"26/7/2022, 14:10:16:930";"";2;2026.3999999985099;0.15156808400000005;529.5999999977648;2.0615528128088303;144.40000000223517;580.991108650974;1409.3999999985099;"";13.876868050859699;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 14:10:17:288";"26/7/2022, 14:10:19:276";"Please move your mouse towards the target in a single smooth motion";0;1677.9000000022352;0;529.4000000022352;0.9882117688026185;32.099999997764826;395.70293239579837;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:10:26:978";"26/7/2022, 14:10:30:869";"";2;2283.300000000745;1.139100924;515;0.6875;0;291.0749654649872;1369.699999999255;"";25.0934138951786;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 14:10:31:230";"26/7/2022, 14:10:33:46";"Please move your mouse towards the target in a single smooth motion";0;1590.199999999255;0;577.1999999992549;0.8125;63.900000002235174;536.4569282675924;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:10:36:642";"26/7/2022, 14:10:40:331";"";2;2066.10000000149;0;513.5;0.75;32.19999999925494;312.95554953684746;1384.199999999255;"";35.952289369526376;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 14:10:40:700";"26/7/2022, 14:10:43:391";"Please move your mouse towards the target in a single smooth motion";0;2355.39999999851;0;1060.8999999985099;1.0789172813520043;44.69999999925494;553.8292604354034;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:10:53:819";"26/7/2022, 14:10:56:500";"Please click on the target once the grid is unlocked";0;1177.1000000014901;0.006531249;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:10:57:738";"26/7/2022, 14:10:59:783";"Please move your mouse towards the target in a single smooth motion";0;1883.199999999255;0.21558197600000006;401.30000000074506;0.8500919067959652;0;318.13738985759227;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 14:11:1:475";"26/7/2022, 14:11:4:184";"Please move your mouse towards the target in a single smooth motion";0;2519.199999999255;0;509.3999999985099;12.733445134762235;4.600000001490116;493.0288073585772;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
