block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"26/7/2022, 9:8:50:934";"26/7/2022, 9:9:6:937";"Are you still here?";0;"";0.0024;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:14:41:24";"26/7/2022, 9:14:45:179";"Please click on the target once the grid is unlocked";1;3308.10000000149;0;658.5;1.973456675480868;48.29999999701977;273.19429005972063;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:14:59:787";"26/7/2022, 9:15:2:412";"";3;1381.800000000745;0;274.9000000022352;2.125;132.59999999776483;362.18035917863943;758.1999999992549;"";23.54019872719661;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 9:15:2:781";"26/7/2022, 9:15:5:267";"";1;1199;0;230.40000000223517;2.6700011704117284;33.5;542.4114530923587;757.6000000014901;"";22.80631934064574;"";1;"";"";"";"";"";"";"";"";"";""
0;3;2;"26/7/2022, 9:15:5:628";"26/7/2022, 9:15:7:902";"";2;1147.800000000745;0;470.9000000022352;5.375;10.899999998509884;213.2746493168414;842.6000000014901;"";36.96658413009062;"";1;"";"";"";"";"";"";"";"";"";""
0;4;3;"26/7/2022, 9:15:8:259";"26/7/2022, 9:15:10:461";"";0;876.1999999992549;0;257;3.25;50.80000000074506;496.5469546470411;824.3999999985099;"";19.950357893795246;"";1;"";"";"";"";"";"";"";"";"";""
0;5;4;"26/7/2022, 9:15:10:825";"26/7/2022, 9:15:13:160";"";1;1116.199999999255;0;272.3999999985099;1.5674920254980567;84.19999999925494;332.62738472181724;738.0999999977648;"";14.723001958623595;"";1;"";"";"";"";"";"";"";"";"";""
1;1;5;"26/7/2022, 9:15:24:803";"26/7/2022, 9:15:27:808";"";0;1904;0;641.2000000029802;2.414959885795207;48.599999997764826;273.6987340321557;988.4000000022352;"";14.764940925424499;"";1;"";"";"";"";"";"";"";"";"";""
1;2;6;"26/7/2022, 9:15:28:183";"26/7/2022, 9:15:30:316";"";2;918.4000000022352;0;288.30000000074506;7.718180647017793;0;409.38266013143794;745.8000000007451;"";5.4535875366666415;"";1;"";"";"";"";"";"";"";"";"";""
1;3;7;"26/7/2022, 9:15:30:692";"26/7/2022, 9:15:32:855";"Please click on the target once the grid is unlocked";0;1747.8999999985099;0;1092.300000000745;5.199158585771356;61.5;381.00709967772747;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1;3;7;"26/7/2022, 9:15:37:82";"26/7/2022, 9:15:38:662";"Please do not move away from the target";0;1015.8999999985099;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1;3;7;"26/7/2022, 9:15:43:133";"26/7/2022, 9:15:46:493";"";0;2199.300000000745;0;208.70000000298023;3.834875815385555;33.29999999701977;424.8054900123018;610.7000000029802;"";42.10883195805444;"";1;"";"";"";"";"";"";"";"";"";""
1;4;8;"26/7/2022, 9:15:46:844";"26/7/2022, 9:15:49:712";"";1;1719.1000000014901;0;240.60000000149012;4.142653305340701;48.19999999925494;335.14972481532146;635.3000000007451;"";53.056587389470984;"";1;"";"";"";"";"";"";"";"";"";""
1;5;9;"26/7/2022, 9:15:50:76";"26/7/2022, 9:15:53:683";"";2;2387.099999997765;0;258.19999999925494;1.202211503854459;0;285.284564688829;722.1000000014901;"";38.73956017176863;"";1;"";"";"";"";"";"";"";"";"";""
1;6;10;"26/7/2022, 9:15:54:59";"26/7/2022, 9:15:56:609";"";2;1166.9000000022352;0;337.6000000014901;3.898116532378169;63.399999998509884;534.4315329496847;966.4000000022352;"";12.392201007616627;"";1;"";"";"";"";"";"";14.300000000745058;208.44444635207378;"";""
1;7;11;"26/7/2022, 9:15:56:972";"26/7/2022, 9:15:59:604";"";3;1359;0;386;4.3125;83.30000000074506;511.73523834510854;902.1000000014901;"";17.870811601298016;"";1;"";"";"";"";"";"";2.100000001490116;414.25766317800185;"";""
1;8;12;"26/7/2022, 9:15:59:974";"26/7/2022, 9:16:3:706";"";3;2394.699999999255;0;321.0999999977648;7.1864129612763;51.80000000074506;527.4942976555707;905.5;"";10.940911368148745;"";1;"";"";"";"";"";"";0.29999999701976776;436.3646417856695;"";""
1;9;13;"26/7/2022, 9:16:4:72";"26/7/2022, 9:16:6:728";"";2;1447.8999999985099;0;256.80000000074506;2.93816481838579;133.60000000149012;375.57430081959814;711;"";26.391123773380194;"";1;"";"";"";"";"";"";1.3999999985098839;140.18745898403427;"";""
