block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"24/5/2022, 10:18:12:868";"24/5/2022, 10:18:28:876";"Êtes-vous toujours là ?";0;"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"24/5/2022, 10:21:1:984";"24/5/2022, 10:21:6:147";"Veuillez ne pas vous rapprocher de l’intrus lorsque la grille est verrouillée";0;"";0.3506521034;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"24/5/2022, 10:21:9:360";"24/5/2022, 10:21:12:495";"";4;1527.2999999821186;0;258.90000000596046;3.103677254483784;34;435.54797365332286;1112.300000011921;"";14.974139491657777;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"24/5/2022, 10:21:12:859";"24/5/2022, 10:21:15:989";"";5;1549.5;0;177.7000000178814;3.204001404494074;79.19999998807907;424.18078933517916;1003.9000000059605;"";14.009980050507744;"";1;"";"";"";"";"";"";"";"";"";""
0;3;2;"24/5/2022, 10:21:16:358";"24/5/2022, 10:21:20:11";"";2;2166.2000000178814;0;178.59999999403954;1.9625398085134478;65.19999998807907;639.2700505340177;908.0999999940395;"";15.504354542051242;"";1;"";"";"";"";"";"";"";"";"";""
0;4;3;"24/5/2022, 10:21:20:392";"24/5/2022, 10:21:23:636";"";2;1643.199999988079;0;242.69999998807907;2.8235892495191295;47.70000001788139;625.3122706224592;1086.800000011921;"";18.585062308629073;"";1;"";"";"";"";"";"";"";"";"";""
0;5;4;"24/5/2022, 10:21:24:0";"24/5/2022, 10:21:26:881";"";0;1483;0;145.7999999821186;2.3125;65.5;668.2237490240568;787.1999999880791;"";55.51022437142211;"";1;"";"";"";"";"";"";"";"";"";""
1;1;5;"24/5/2022, 10:21:33:40";"24/5/2022, 10:21:49:46";"Êtes-vous toujours là ?";0;"";0;145.7999999821186;2.3125;65.5;668.2237490240568;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1;1;5;"24/5/2022, 10:21:54:340";"24/5/2022, 10:22:3:465";"";1;7708.600000023842;0;163.90000000596046;2.637618480751149;49.69999998807907;704.5652811495091;818.5999999940395;"";34.470544004200846;"";1;"";"";"";"";"";"";"";"";"";""
1;2;6;"24/5/2022, 10:22:3:831";"24/5/2022, 10:22:5:581";"Veuillez vous déplacer vers l’intrus d’un seul mouvement fluide";0;1346;0;178.30000001192093;2.5449091339377916;48.099999994039536;656.9469113899278;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
