block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"26/7/2022, 9:13:23:714";"26/7/2022, 9:13:39:719";"Are you still here?";0;"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:18:7:953";"26/7/2022, 9:18:12:219";"";2;2816.7000000029802;0;583.3999999985099;4.533296951447148;41.899999998509884;573.576028043021;1276.6999999955297;"";27.05271360913594;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 9:18:12:565";"26/7/2022, 9:18:17:440";"";1;3534.1999999955297;0;400.8999999985099;8.533024082938006;96;759.5583717964115;988.7999999970198;"";70.86793291761532;"";1;"";"";"";"";"";"";"";"";"";""
0;3;2;"26/7/2022, 9:18:17:815";"26/7/2022, 9:18:21:58";"";2;1750;0;225.89999999850988;2.752839443193155;32;537.34967942534;964.1000000014901;"";13.185805948656494;"";1;"";"";"";"";"";"";"";"";"";""
0;4;3;"26/7/2022, 9:18:21:434";"26/7/2022, 9:18:27:428";"";0;4645.89999999851;0;369.69999999552965;1.0915155747858112;17;466.7937118093662;961.8999999985099;"";32.894633069326446;"";1;"";"";"";"";"";"";"";"";"";""
0;5;4;"26/7/2022, 9:18:27:787";"26/7/2022, 9:18:30:330";"";1;1221.3999999985099;0;289.3999999985099;4.769818062505703;31.399999998509884;569.272824814487;858;"";54.431599942180874;"";1;"";"";"";"";"";"";"";"";"";""
1;1;5;"26/7/2022, 9:18:43:282";"26/7/2022, 9:18:43:844";"Please do not get close to the target while the grid is locked";1;"";0.0584019514;289.3999999985099;4.769818062505703;31.399999998509884;569.272824814487;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1;1;5;"26/7/2022, 9:18:49:331";"26/7/2022, 9:18:52:347";"";2;1639.6999999955297;0;385.8999999985099;6.4055639876594785;48;675.9391081883897;1007.5;"";19.192849671573658;"";1;"";"";"";"";"";"";"";"";"";""
1;2;6;"26/7/2022, 9:18:52:714";"26/7/2022, 9:18:55:41";"";0;1170;0;289.5;4.851304592581258;64;673.0896884960916;693.3000000044703;"";21.771053253474555;"";1;"";"";"";"";"";"";"";"";"";""
1;3;7;"26/7/2022, 9:18:55:412";"26/7/2022, 9:18:57:963";"";3;1102.2000000029802;0;210.39999999850988;3.939483627329856;95.79999999701977;585.3430370619817;904.6999999955297;"";14.257760418872168;"";1;"";"";"";"";"";"";"";"";"";""
1;4;8;"26/7/2022, 9:18:58:329";"26/7/2022, 9:19:1:217";"";5;1618.4000000059605;0;210.40000000596046;2.5155764746872635;78.19999999552965;465.45813521171334;725.8000000044703;"";33.981070241615775;"";1;"";"";"";"";"";"";"";"";"";""
1;5;9;"26/7/2022, 9:19:1:579";"26/7/2022, 9:19:5:135";"";0;2294.8000000044703;0;272.70000000298023;4.531142240097965;33.79999999701977;475.6250064163107;781.8999999985099;"";31.772971666427818;"";1;"";"";"";"";"";"";"";"";"";""
1;6;10;"26/7/2022, 9:19:5:497";"26/7/2022, 9:19:7:872";"";1;1070.7000000029802;0;225.60000000149012;2.1332560207345015;62.899999998509884;455.1954832580346;777.2000000029802;330;47.91355996495799;"";1;0;"";"";-233.19184917757798;"";"";8.800000004470348;214.30815082242202;"";""
1;7;11;"26/7/2022, 9:19:8:229";"26/7/2022, 9:19:10:784";"";1;1215.2999999970198;0;177.69999999552965;5.268197628221629;62.80000000447035;600.5819624360322;764.2999999970198;274.3999999985099;62.185758848112684;"";1;0;35.70000000298023;"";-179.88049884320878;-233.19184917757798;0;0.7999999970197678;310.0195011553011;"";""
1;8;12;"26/7/2022, 9:19:11:134";"26/7/2022, 9:19:13:210";"";1;814.1000000014901;0;145.89999999850988;3.9454285255216575;48;476.2166843524126;654;561;10.228912048939394;18.337259748824984;0;1;-93.10000000149012;"";-8.601307513280517;-206.5201806072123;26.655670369163786;0.3999999985098839;420.0986924896997;"";""
1;9;13;"26/7/2022, 9:19:13:579";"26/7/2022, 9:19:15:848";"";3;857.5;0;258.5;3.357012250498946;126.29999999701977;676.5068675588535;917.1000000014901;"";49.01908853768139;"";1;"";26.899999998509884;"";"";"";"";0.5;520.1635294196377;"";""
1;10;14;"26/7/2022, 9:19:16:196";"26/7/2022, 9:19:18:817";"";1;1369.1999999955297;0;241.29999999701977;1.8027756377319946;33.600000001490116;335.687223995069;739.2999999970198;706.1000000014901;59.656620366189244;59.656620366189244;0;1;-33.399999998509884;"";-49.77757780884008;-140.44334616360416;95.83128029226606;0.7999999970197678;382.6224221896698;"";""
1;11;15;"26/7/2022, 9:19:19:182";"26/7/2022, 9:19:21:441";"";2;962.7999999970198;0;370;1.9575574704207281;31.5;375.6151286270504;913;"";17.308952987272946;33.59696568911581;0;1;-128.10000000149012;"";"";"";"";0.6000000014901161;422.0787574629326;"";""
1;12;16;"26/7/2022, 9:19:21:812";"26/7/2022, 9:19:25:26";"";0;2019.1000000014901;0;257.8999999985099;4.396376348767244;31.899999998509884;687.5027210343289;699.3999999985099;417.70000000298023;22.57339431960227;135.0258776205134;0;1;-281.79999999701977;"";-270.72560096803073;-117.6730644502069;91.79020260681102;1.6000000014901161;106.17439903047915;"";""
