block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"26/7/2022, 16:8:20:485";"26/7/2022, 16:8:36:489";"Are you still here?";0;"";0.0017347760000000002;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:42:756";"26/7/2022, 16:12:45:798";"Please click on the target once the grid is unlocked";1;2498.400000035763;0;961.4000000357628;10.574327697305394;33.799999952316284;544.0397233882402;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:55:382";"26/7/2022, 16:12:57:17";"Please do not get close to the target while the grid is locked";1;"";0.6907553286800004;961.4000000357628;10.574327697305394;33.799999952316284;544.0397233882402;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:13:4:823";"26/7/2022, 16:13:7:383";"Please click on the target once the grid is unlocked";1;1697.6000000238419;0;640.6000000238419;1.7511157157652375;64.19999998807907;505.9737259704062;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:13:13:838";"26/7/2022, 16:13:17:102";"";4;2023.699999988079;0.03272188000000001;162;5.268197628221629;81.39999997615814;478.8408443831557;648.8000000119209;"";18.193530909537913;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 16:13:17:464";"26/7/2022, 16:13:19:293";"Please do not get close to the target while the grid is locked";4;"";0.0672;162;5.268197628221629;81.39999997615814;478.8408443831557;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:13:21:181";"26/7/2022, 16:13:24:42";"";2;1740.699999988079;0.035373504;144.5999999642372;4.5388944138413265;65.10000002384186;419.01090534855587;512.8000000119209;"";18.61560029695662;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 16:13:24:412";"26/7/2022, 16:13:27:116";"";0;1691.300000011921;0.000615734;228.70000004768372;6.277846398435294;28.899999976158142;393.93270287356665;489.5;"";30.776282970317816;"";1;"";"";"";"";"";"";"";"";"";""
0;3;2;"26/7/2022, 16:13:27:474";"26/7/2022, 16:13:29:838";"";2;1155.1000000238419;0.004689065;113.69999998807907;5.138701197773616;80.60000002384186;494.37691941227496;569.8999999761581;"";25.1051206981026;"";1;"";"";"";"";"";"";"";"";"";""
0;4;3;"26/7/2022, 16:13:30:205";"26/7/2022, 16:13:32:341";"";0;1164;0;161.10000002384186;5.638274862755807;64.59999996423721;237.28476580795044;381.60000002384186;"";40.54277317357793;"";1;"";"";"";"";"";"";"";"";"";""
0;5;4;"26/7/2022, 16:13:32:707";"26/7/2022, 16:13:34:858";"";1;1022.3999999761581;0;161.39999997615814;4.529417732998361;16.400000035762787;312.3628076009545;536.1999999880791;"";21.095134806102312;"";1;"";"";"";"";"";"";"";"";"";""
1;1;5;"26/7/2022, 16:16:0:660";"26/7/2022, 16:16:3:870";"";3;1959.800000011921;0;133.0999999642372;6.645073892530458;29.100000023841858;452.1592796158398;629.1999999880791;"";5.296579314346274;"";1;"";"";"";"";"";"";"";"";"";""
1;2;6;"26/7/2022, 16:16:4:239";"26/7/2022, 16:16:6:361";"";0;962;0;146.80000001192093;8.416885381977306;78.19999998807907;540.4271918437714;555.8000000119209;"";7.6217335193425;"";1;"";"";"";"";"";"";"";"";"";""
1;3;7;"26/7/2022, 16:16:6:719";"26/7/2022, 16:16:8:558";"";2;715.5;0;0;3.885228108172656;146.19999998807907;381.0450131684052;371.19999998807907;"";31.88853779552541;"";1;"";"";"";"";"";"";"";"";"";""
1;4;8;"26/7/2022, 16:16:8:919";"26/7/2022, 16:16:12:640";"";1;2474.100000023842;0;209.5;3.250600905986461;47.80000001192093;352.45559391253573;702.3000000119209;"";23.51204554493412;"";1;"";"";"";"";"";"";"";"";"";""
