block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"26/7/2022, 15:6:14:454";"26/7/2022, 15:6:30:462";"Are you still here?";0;"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:8:51:370";"26/7/2022, 15:9:1:719";"Please click on the target once the grid is unlocked";0;8814.899999976158;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:9:15:55";"26/7/2022, 15:9:20:346";"Please do not get close to the target while the grid is locked";0;"";0.35422274400000003;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:9:22:599";"26/7/2022, 15:9:26:520";"Please click on the target once the grid is unlocked";0;2405.7000000476837;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:9:31:145";"26/7/2022, 15:9:40:340";"Please do not get close to the target while the grid is locked";0;"";0.000390624;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:9:46:334";"26/7/2022, 15:9:50:83";"Please click on the target once the grid is unlocked";0;2227.3000000715256;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:9:54:552";"26/7/2022, 15:9:58:570";"Please move your mouse towards the target in a single smooth motion";0;3861.2999999523163;0;651.7999999523163;0.4375;11.300000071525574;544.1131463934563;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:10:4:678";"26/7/2022, 15:10:11:140";"Please click on the target once the grid is unlocked";0;4946.399999976158;0.3726750319999998;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:10:15:586";"26/7/2022, 15:10:18:169";"Please move your mouse towards the target in a single smooth motion";0;2052.399999976158;0;664.3999999761581;0.8500919067959652;0;490.8936310659121;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:10:22:880";"26/7/2022, 15:10:25:310";"Please move your mouse towards the target in a single smooth motion";0;2141.7000000476837;0;618.3000000715256;1.3975424859373686;0.2999999523162842;308.7518007073059;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 15:10:28:646";"26/7/2022, 15:10:31:149";"Please click on the target once the grid is unlocked";4;1561.6000000238419;0;615.1999999284744;0.625;33.800000071525574;370.3303428442178;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
