block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"26/7/2022, 16:5:14:696";"26/7/2022, 16:5:30:700";"Are you still here?";0;"";0.000781866;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:7:4:132";"26/7/2022, 16:7:14:24";"";3;8575.800000011921;0;166.59999999403954;3.6443449342783127;75.09999999403954;592.9468360190864;725;"";1.2415501047975468;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 16:7:14:376";"26/7/2022, 16:7:17:440";"";1;1991.5;0;241.30000001192093;1.7897276329095442;32.099999994039536;216.88744635569958;557.2000000178814;"";6.603321466743644;"";1;"";"";"";"";"";"";"";"";"";""
0;3;2;"26/7/2022, 16:7:17:793";"26/7/2022, 16:7:20:175";"";1;1186.9000000059605;0;65.19999998807907;4.056245184896988;79.5;462.7289435929102;505.59999999403954;"";14.070532557008084;"";1;"";"";"";"";"";"";"";"";"";""
0;4;3;"26/7/2022, 16:7:20:544";"26/7/2022, 16:7:22:581";"";1;968;0;145.90000000596046;2.576941016011038;47.79999998211861;361.37214797909195;462.2999999821186;"";42.477229815468846;"";1;"";"";"";"";"";"";"";"";"";""
0;5;4;"26/7/2022, 16:7:22:942";"26/7/2022, 16:7:25:840";"";0;1790.7999999821186;0;113.7999999821186;4.265138479580704;63.599999994039536;553.405948689112;468.7999999821186;"";24.655995058964493;"";1;"";"";"";"";"";"";"";"";"";""
1;1;5;"26/7/2022, 16:7:41:941";"26/7/2022, 16:7:44:151";"";0;1139.7000000178814;0;161.40000000596046;2.3535212979703415;17.19999998807907;231.49000359986192;479.19999998807907;"";13.932088497647266;"";1;"";"";"";"";"";"";"";"";"";""
1;2;6;"26/7/2022, 16:7:44:522";"26/7/2022, 16:7:50:976";"";2;5316.0999999940395;0;81.30000001192093;2.5194555463432966;63.599999994039536;442.05901694730386;466.40000000596046;"";32.92953868683295;"";1;"";"";"";"";"";"";"";"";"";""
1;3;7;"26/7/2022, 16:7:51:339";"26/7/2022, 16:7:55:20";"";2;2490.5;0;132.19999998807907;1.7241392780167153;109.90000000596046;367.63399438741686;568.1999999880791;"";23.207022338988494;"";1;"";"";"";"";"";"";"";"";"";""
1;4;8;"26/7/2022, 16:7:55:388";"26/7/2022, 16:7:57:644";"";2;1151;0;194.59999999403954;2.4125323832023478;111.5;415.7530455113437;547.6999999880791;"";5.847359710607903;"";1;"";"";"";"";"";"";"";"";"";""
1;5;9;"26/7/2022, 16:7:58:4";"26/7/2022, 16:8:0:975";"";1;1815.0999999940395;0;177.09999999403954;2.019436802675439;79.80000001192093;382.56378001307775;581;"";15.0038447730134;"";1;"";"";"";"";"";"";"";"";"";""
1;6;10;"26/7/2022, 16:8:1:339";"26/7/2022, 16:8:3:834";"";0;1589;0;353.19999998807907;1.2823927830426995;0;140.83085549667197;507.09999999403954;391.89999997615814;41.70166464943429;"";1;0;"";"";237.58006967581468;"";"";6.4000000059604645;352.98006968177515;"";""
1;7;11;"26/7/2022, 16:8:4:204";"26/7/2022, 16:8:9:556";"";2;4214.700000017881;0;113.30000001192093;3.662521330995903;80.5;443.2440461285743;498.30000001192093;"";10.078638746214443;165.77267902033816;0;1;-271.30000001192093;"";"";"";"";0.5999999940395355;243.09835680705908;"";""
1;8;12;"26/7/2022, 16:8:9:922";"26/7/2022, 16:8:12:468";"";0;1488.3999999761581;0;225.7999999821186;1.4279574573494829;31.30000001192093;305.0774485331968;530.6999999880791;289.90000000596046;44.55915413859683;220.49778309933683;0;1;-240.7999999821186;"";-22.999937092368384;237.58006967581468;0;0.29999998211860657;217.90006291359208;"";""
1;9;13;"26/7/2022, 16:8:12:835";"26/7/2022, 16:8:15:325";"Please do not move away from the target";3;1848.9000000059605;0;146;2.1505813167606567;78.89999997615814;273.22948182456645;"";"";"";71.98699764229478;0;"";"";"";"";"";"";1.7000000178813934;276.12649223630797;"";""
1;9;13;"26/7/2022, 16:8:32:451";"26/7/2022, 16:8:36:719";"";0;3103.4000000059605;0;113.30000001192093;7.439842151971707;96.59999999403954;548.8789525326013;525.5;242;36.74289198048976;311.4958411446892;0;1;-283.5;"";-116.23153013130718;107.21189229907358;130.28997993189444;0.20000001788139343;167.4684698567719;"";""
1;10;14;"26/7/2022, 16:8:37:84";"26/7/2022, 16:8:39:613";"";1;1399.0999999940395;0;161.2000000178814;1.8168052317185792;95.59999999403954;330.93090873919476;538.1000000238419;368.90000000596046;30.400141128437735;84.93540457751479;0;1;-169.30000001192093;"";16.623683757533968;32.58677880700483;149.68802819221835;0.5999999940395355;265.52368376349443;"";""
1;11;15;"26/7/2022, 16:8:39:983";"26/7/2022, 16:8:43:462";"";1;2313.5;0;193.19999998807907;1.8915932438026946;65;319.8523517360498;606.0999999940395;369.7999999821186;26.555927735744735;117.63830309616384;0;1;-236.30000001192093;"";-75.82415830712307;28.514956745663362;129.74451176307602;0.5999999940395355;240.37584171075832;"";""
1;12;16;"26/7/2022, 16:8:43:830";"26/7/2022, 16:8:46:96";"";0;1122.800000011921;0.001359384;161.80000001192093;3.1349840509961133;111.59999999403954;508.651468488561;546.5;433.69999998807907;9.571641569104289;14.799188509189625;0;1;-112.90000000596046;"";19.20026039444042;7.503362485045065;123.24375490765046;0.5;259.50026040636135;"";""
1;13;17;"26/7/2022, 16:8:46:463";"26/7/2022, 16:8:48:616";"";1;986.9000000059605;0;129.09999999403954;2.7164142265125912;129.40000000596046;375.46927662076484;543.0999999940395;449.59999999403954;10.078641155015614;24.157349661910853;0;1;-93.59999999403954;"";35.22229329146103;9.385977143336472;112.47324557785309;1.4000000059604645;287.4222932795401;"";""
