block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"26/7/2022, 16:10:8:610";"26/7/2022, 16:10:24:623";"Are you still here?";0;"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:11:37:832";"26/7/2022, 16:11:47:468";"";1;8098.5;0;378.60000002384186;2.7056076027391702;64;318.0609589459786;1126.2000000476837;"";13.812379574585574;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 16:11:47:848";"26/7/2022, 16:11:56:149";"Please do not move away from the target";0;7825.899999976158;0.2874838819999999;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:11:59:862";"26/7/2022, 16:12:4:725";"Please click on the target once the grid is unlocked";0;4500.700000047684;0;1149.7000000476837;0.673145600891813;32.59999990463257;283.76104817824563;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:8:751";"26/7/2022, 16:12:15:578";"Please do not press the spacebar while your mouse is outside of the grid";0;7970.200000047684;0.07525312500000003;1149.7000000476837;0.673145600891813;32.59999990463257;283.76104817824563;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:19:807";"26/7/2022, 16:12:24:339";"Please do not move away from the target";0;3107.0999999046326;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:28:601";"26/7/2022, 16:12:32:51";"Please move your mouse towards the target in a single smooth motion";0;2594.5999999046326;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:36:507";"26/7/2022, 16:12:40:693";"Please click on the target once the grid is unlocked";1;3601.1999999284744;0;936;1.7544586059522749;130.70000004768372;229.39841776710162;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:44:666";"26/7/2022, 16:12:46:870";"Please do not move away from the target";0;1517.4000000953674;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:49:162";"26/7/2022, 16:12:51:770";"Please do not move away from the target";0;2230.7000000476837;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 16:12:53:568";"26/7/2022, 16:12:57:804";"";4;2415.1999999284744;0;433.6999999284744;1.7376798468072305;67.80000007152557;355.9980901680029;1469.5;"";16.113094431307477;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 16:12:58:175";"26/7/2022, 16:13:1:420";"";0;1867.8000000715256;0;534.3000000715256;1.799522506110996;33;270.4842447015486;1146;"";6.4994948669141746;"";1;"";"";"";"";"";"";"";"";"";""
0;3;2;"26/7/2022, 16:13:1:784";"26/7/2022, 16:13:5:3";"";0;1911.6999999284744;0;473.60000002384186;2.809025631780529;0;269.9507736410637;1004;"";24.417110538821458;"";1;"";"";"";"";"";"";"";"";"";""
0;4;3;"26/7/2022, 16:13:5:375";"26/7/2022, 16:13:9:323";"";0;2490.2999999523163;0;420;2.7985766471547637;155.60000002384186;321.2692204790652;1113.6000000238419;"";20.398825898246884;"";1;"";"";"";"";"";"";"";"";"";""
0;5;4;"26/7/2022, 16:13:9:684";"26/7/2022, 16:13:18:155";"";1;7032.399999976158;0;345.10000002384186;2.8235892495191295;98.39999997615814;299.05479227955163;1025;"";17.86361187206512;"";1;"";"";"";"";"";"";"";"";"";""
1;1;5;"26/7/2022, 16:13:24:122";"26/7/2022, 16:13:27:885";"";1;2179;0;323.39999997615814;3.321920566479578;112.5;396.52313103154404;1136.6999999284744;"";22.95607706692263;"";1;"";"";"";"";"";"";"";"";"";""
1;2;6;"26/7/2022, 16:13:28:241";"26/7/2022, 16:13:32:786";"Please do not move away from the target";0;4085.600000023842;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1;2;6;"26/7/2022, 16:13:35:291";"26/7/2022, 16:13:39:436";"";1;2805.6999999284744;0.030713556000000003;380.6999999284744;0.7126096406869612;0;408.5788557439669;934.1999999284744;"";14.864222681734516;"";1;"";"";"";"";"";"";"";"";"";""
1;3;7;"26/7/2022, 16:13:39:813";"26/7/2022, 16:13:42:862";"";0;1710;0;310.3000000715256;3.1585696921233195;62.299999952316284;424.11194982977446;877.4000000953674;"";22.191498185334787;"";1;"";"";"";"";"";"";"";"";"";""
1;4;8;"26/7/2022, 16:13:43:241";"26/7/2022, 16:13:48:683";"";1;3786.600000023842;0;350.5;3.005203820042827;55.200000047683716;373.1731734774776;1246.1000000238419;"";16.54493765008975;"";1;"";"";"";"";"";"";"";"";"";""
1;5;9;"26/7/2022, 16:13:49:47";"26/7/2022, 16:13:53:804";"";1;3412.899999976158;0.0001269514;404.89999997615814;4.292526208423194;191.80000007152557;321.7020009669252;963.8999999761581;"";14.723548990428503;"";1;"";"";"";"";"";"";"";"";"";""
1;6;10;"26/7/2022, 16:13:54:171";"26/7/2022, 16:13:58:746";"Please move your mouse towards the target in a single smooth motion";0;4341.200000047684;0.008371104;354.5;3.9355153728577914;65.69999992847443;413.5326831702112;"";522;"";"";"";0;"";"";"";"";"";42.800000071525574;-371.19450667662386;"";""
